dimension,label,layer,r,alpha_fold_1,alpha_fold_2,alpha_fold_3,alpha_fold_4,alpha_fold_5,p_pearson_approx,q_bh_fdr_130_approx,reject_bh_fdr_05,inference_status
comprehension_continuous,Comprehension,0,0.45947486355381273,0.1,0.1,0.1,0.1,0.1,9.349368391995148e-27,1.4132766173946152e-26,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,1,0.4322645042102543,0.1,0.1,0.1,0.1,0.1,1.5160122522988194e-23,1.9907231595843082e-23,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,2,0.4702064410531327,0.1,0.1,0.1,0.1,0.1,4.200296909586288e-28,6.578778292123101e-28,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,3,0.4389225487077655,0.1,0.1,0.1,0.1,0.1,2.641277586077319e-24,3.539856558660324e-24,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,4,0.4545251911228086,0.1,0.1,0.1,0.1,0.1,3.7703979119704134e-26,5.483350847544925e-26,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,5,0.4524044962128244,0.1,0.1,0.1,0.1,0.1,6.80526524421865e-26,9.721807491740929e-26,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,6,0.44813799350795214,0.1,0.1,0.1,0.1,0.1,2.204866447847201e-25,3.049283385320597e-25,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,7,0.4578251145512396,0.1,0.1,0.1,0.1,0.1,1.491879890150707e-26,2.2292458128688723e-26,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,8,0.44652924137743055,0.1,0.1,0.1,0.1,0.1,3.4199935157691024e-25,4.679991126841929e-25,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,9,0.46889949572534895,0.1,0.1,0.1,0.1,0.1,6.165193612315111e-28,9.541371066678148e-28,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,10,0.4545008153753084,0.1,0.1,0.1,0.1,0.1,3.796165971377256e-26,5.483350847544925e-26,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,11,0.43194417680457675,0.1,0.1,0.1,0.1,0.1,1.647373228162326e-23,2.1415851966110237e-23,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,12,0.47239031289492894,0.1,0.1,0.1,0.1,0.1,2.2038252243962646e-28,3.537003446561906e-28,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,13,0.5086016989927946,0.1,0.1,0.1,0.1,0.1,2.4682301456360544e-33,4.395478341543658e-33,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,14,0.5067993838822129,0.1,0.1,0.1,0.1,0.1,4.4981857443801654e-33,7.902218199586777e-33,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,15,0.49262156278124214,0.1,0.1,0.1,0.1,0.1,4.468994534320565e-31,7.545055707294461e-31,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,16,0.4868968589640791,0.1,0.1,0.1,0.1,0.1,2.6947678981849823e-30,4.434428186886679e-30,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,17,0.439456289079457,0.1,0.1,0.1,0.1,0.1,2.292177315485189e-24,3.1039901147195267e-24,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,18,0.4564942935665867,0.1,0.1,0.1,0.1,0.1,2.1709381849290875e-26,3.2070677731906974e-26,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,19,0.45073324520544666,0.1,0.1,0.1,0.1,0.1,1.0806585721740873e-25,1.5105980041143156e-25,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,20,0.4519752351919475,0.1,0.1,0.1,0.1,0.1,7.665450278276356e-26,1.0831614523651372e-25,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,21,0.4315209084744061,0.1,0.1,0.1,0.1,0.1,1.8383154491663088e-23,2.3613319855619352e-23,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,22,0.4340745362375716,0.1,0.1,0.1,0.1,0.1,9.463535298065392e-24,1.2553669272943887e-23,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,23,0.42653144208234217,0.1,0.1,0.1,0.1,0.1,6.61949075753623e-23,8.274363446920289e-23,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,24,0.426713779967853,0.1,0.1,0.1,0.1,0.1,6.3190753108211e-23,7.975531945696534e-23,True,exploratory Pearson approximation
comprehension_continuous,Comprehension,25,0.4074777661192925,0.1,0.1,0.1,0.1,0.1,7.28097982412068e-21,8.929503557883853e-21,True,exploratory Pearson approximation
confidence_continuous,Confidence,0,0.2651475583440248,0.1,0.1,0.1,0.1,0.1,2.9060191800279892e-09,2.9514257297159265e-09,True,exploratory Pearson approximation
confidence_continuous,Confidence,1,0.26088773651150987,0.1,0.1,0.1,0.1,0.1,5.284144236108388e-09,5.325106594527833e-09,True,exploratory Pearson approximation
confidence_continuous,Confidence,2,0.28711859993803457,0.1,0.1,0.1,0.1,0.1,1.1211736383135228e-10,1.1567664522282378e-10,True,exploratory Pearson approximation
confidence_continuous,Confidence,3,0.27461426379987697,0.1,0.1,0.1,0.1,0.1,7.406163672194819e-10,7.581112420356902e-10,True,exploratory Pearson approximation
