dimension,label,observed_max_layer,marker,partial_r,ci95_low,ci95_high,p_raw_two_sided,p_holm_10_tests,p_bh_fdr_10_tests,reject_holm_05
comprehension_continuous,Comprehension,13,Belief volatility,-0.11270121723141523,-0.19651021127226134,-0.018361932243989403,0.012916202119364025,0.0516648084774561,0.01845171731337718,False
comprehension_continuous,Comprehension,13,Win-switch rate,-0.19251013839794853,-0.26634811643524264,-0.11113185373740363,1.9280016957392543e-05,0.00019280016957392543,0.00019280016957392543,True
judgment_continuous,Judgment,14,Belief volatility,-0.1234423014782364,-0.2153211657284554,-0.02710027136819331,0.006434892290730702,0.03217446145365351,0.010724820484551171,True
judgment_continuous,Judgment,14,Win-switch rate,-0.1574431298894976,-0.23532799030347043,-0.0797776301865588,0.0004945131814003584,0.003956105451202867,0.0016483772713345281,True
evaluation_continuous,Evaluation,12,Belief volatility,-0.0626338897521852,-0.15628144133579447,0.028445881816369895,0.16802186627595872,0.33604373255191744,0.186690962528843,False
evaluation_continuous,Evaluation,12,Win-switch rate,-0.036666138399306755,-0.11052735294704341,0.04405369843467597,0.41994900912237326,0.41994900912237326,0.41994900912237326,False
final_decision_continuous,Final decision,21,Belief volatility,-0.14251635783207156,-0.23067032094145534,-0.04616524408411574,0.001633636201444405,0.011435453410110834,0.0040840905036110126,True
final_decision_continuous,Final decision,21,Win-switch rate,-0.17648131380065202,-0.26461694139978653,-0.0907112458377665,9.179084426150561e-05,0.0008261175983535504,0.00045895422130752805,True
confidence_continuous,Confidence,16,Belief volatility,-0.09871643521568332,-0.18259921419357117,-0.008256238116511645,0.029558454303241045,0.08867536290972314,0.036948067879051305,False
confidence_continuous,Confidence,16,Win-switch rate,-0.13844854000302562,-0.21116950384264438,-0.06539320826853556,0.0022204804306520266,0.01332288258391216,0.004440960861304053,True
