token_id,token,corpus_count
2277,really,66
4630,someone,16
7385,giving,27
6222,positive,20
7716,score,20
1492,then,86
7052,changed,33
3418,try,25
2550,another,39
871,go,15
1355,back,24
1174,them,22
47630,tended,5
1552,person,95
1064,who,32
1426,good,31
16382,scores,18
5591,couple,5
3023,times,48
1452,after,35
4887,hit,7
8322,negative,63
6423,tried,107
1717,find,43
10055,helpful,10
1693,even,8
3528,didn,30
1707,help,7
2745,keep,14
3274,until,129
2351,next,27
1546,most,43
8786,Only,9
22623,choosing,18
2167,different,31
9803,strategy,88
2449,around,9
948,which,21
3553,Yes,21
18264,whenever,5
4818,saw,12
8001,kept,45
2371,got,46
1618,value,6
21352,stayed,21
1809,same,73
61157,guessed,7
3815,went,34
2731,left,6
1833,right,12
8520,failed,14
1378,two,42
2172,row,62
3124,move,15
11594,twice,19
4786,pretty,14
1683,much,21
17530,stuck,55
6900,throughout,15
2398,game,35
1865,between,12
8787,partners,20
9670,partner,89
9238,seemed,41
1498,did,43
1281,use,12
1089,any,20
14869,strategies,10
15532,picked,7
6162,ones,6
978,more,73
5476,likely,9
1370,first,25
8509,moved,24
4445,soon,7
1297,only,7
36429,switched,52
3631,once,14
2375,feel,5
1212,what,11
5342,hot,5
4604,started,29
1855,being,7
749,do,7
7332,wasn,10
1497,long,12
32209,switching,22
2734,give,19
6733,multiple,7
921,out,25
1742,think,19
2257,second,8
5645,gave,51
1671,used,8
36306,failures,8
1354,else,6
16729,realized,7
1794,before,13
3782,points,81
5398,player,13
14069,noticed,12
27930,consistently,9
5501,lost,5
4788,pick,8
3338,bad,26
1653,again,23
8266,switch,51
1461,people,22
1453,don,13
3392,came,5
908,up,15
6287,Yes,37
11892,stopped,8
1942,found,31
5913,student,6
9288,stick,28
17026,losing,8
1853,each,15
3434,working,9
3757,several,5
1980,too,8
1767,many,12
8385,successful,12
1443,see,23
947,get,17
1578,well,11
14833,deck,40
1178,than,25
2619,few,9
888,new,7
2669,change,23
3131,above,8
4692,stay,13
15208,basically,5
3733,whole,5
5774,figure,12
13670,chose,18
6574,simply,5
3482,based,5
12136,patterns,20
14097,consistent,12
5326,trying,12
7068,chance,9
3695,often,15
3190,results,13
7778,yes,20
7464,guess,5
1163,over,13
3666,particular,10
6281,looked,11
6241,choice,19
4225,getting,13
4076,card,21
7489,beginning,6
5040,Then,11
8908,cards,16
5112,correct,5
93822,negatives,12
5250,usually,8
6883,pattern,35
1612,look,6
2525,better,7
2183,while,6
16455,reliable,5
1156,other,26
5374,continue,5
49891,streak,6
6787,turned,9
52799,decks,10
3077,possible,7
832,all,12
2858,kind,5
11128,forth,6
6220,felt,7
1154,like,14
1280,into,6
1538,could,6
3383,certain,6
11117,changing,5
18251,losses,7
148100,classmate,8
2319,going,18
4307,wait,5
1570,where,9
2593,always,7
1861,because,11
118203,streaks,5
5981,became,10
100080,Tried,5
42377,clicked,10
1611,follow,5
1758,number,8
1368,how,7
6475,choose,8
5543,longer,6
2613,might,6
3298,bit,6
17399,repeat,7
3476,least,7
37275,didnt,5
8096,moving,5
5525,till,6
6800,worked,6
7185,middle,7
2356,little,6
24212,clicking,9
3588,others,8
5499,click,6
6253,random,11
1160,work,13
1963,best,21
36011,randomly,6
3933,half,6
28243,rounds,12
16358,choices,5
8841,unless,5
10763,none,9
5094,round,16
1009,some,8
2001,last,14
14557,winning,5
2149,three,6
509,ed,5
5206,wrong,5
7544,immediately,7
3724,specific,6
1401,off,6
1535,every,9
1170,also,8
1508,very,7
7822,continued,9
3421,thought,8
11900,mostly,7
3276,yes,6
8031,none,5
94002,Nope,6
2656,black,7
3118,red,8
524,ve,6
8492,selection,6
3900,doing,5
