token,members,corpus_count,r_ev,r_fd,delta,r_wsr_l12,r_wsr_l21
until,until,129,-0.09266990066622716,0.05751363100283783,-0.15018353166906498,-0.14542655046765568,-0.01397354218401596
switched,switch|switched|switching,125,-0.0372464210398035,0.3493380522246536,-0.3865844732644571,-0.1757785248826505,-0.1638246274628989
tried,tried|Tried,112,-0.1980675764991309,0.21639014052353067,-0.41445771702266154,-0.11317461561633993,-0.08559275521549412
partner,partner|partners,109,-0.17395439671264445,0.20735389007224136,-0.3813082867848858,-0.1620670236888634,-0.12665288239794026
then,then|Then,97,-0.07686392615766037,0.10128676263252825,-0.17815068879018864,-0.13773434351665165,-0.05235486813629246
person,person,95,-0.19842102191591116,0.045694985598064876,-0.24411600751397602,-0.1298313342789625,-0.11216038595895894
strategy,strategy,88,0.035931463267966125,-0.04022575573391331,0.07615721900187944,0.12051166535709143,0.057985064659039035
Yes,Yes|Yes|yes|yes,84,-0.2501056093413475,-0.19714429545693538,-0.05296131388441214,0.012348672741139695,-0.0025355954287967705
points,points,81,-0.27998011812521456,0.19396516526396174,-0.4739452833891763,-0.11133689213972589,-0.07954883079079894
negative,negative|negatives,75,0.2240327619880627,0.3536814840035525,-0.12964872201548977,-0.18313281885447458,-0.11892902860568408
same,same,73,-0.12516977445234956,0.1494193033659596,-0.27458907781830916,-0.12246878761475388,-0.07775286113725022
more,more,73,-0.241407143955964,-0.02764141885528033,-0.21376572510068367,-0.12884762787628953,-0.05481815451318806
really,really,66,-0.27337411985329335,-0.11379003472198859,-0.15958408513130476,-0.10321033587332125,-0.0552031278165079
row,row,62,0.008983568828434214,0.2908565525527546,-0.2818729837243204,-0.15320674366174802,-0.15304878313700493
changed,change|changed,56,-0.1213555434275341,0.043152161722879036,-0.16450770515041313,-0.04964448173976062,-0.04791938304985088
pattern,pattern|patterns,55,-0.09535880574445352,0.1106741292893394,-0.2060329350337929,0.06968390128594662,0.06724968055571441
stuck,stuck,55,-0.06552077609591109,0.29988918977771606,-0.3654099658736272,-0.13279638095021795,-0.12646578444955586
gave,gave,51,-0.27989444395696406,0.12795665222722657,-0.40785109618419063,-0.1210022859134961,-0.09687838413975979
deck,deck|decks,50,0.2070770628716211,0.1873929217221908,0.01968414114943029,0.011050462254171228,-0.07209102715096369
times,times,48,-0.08906665492020477,0.23827735815854656,-0.32734401307875133,-0.12254091759815533,-0.1242836766448848
got,got,46,-0.28548969892238435,0.11148414584244597,-0.39697384476483033,-0.12265050456850299,-0.10661575411102225
kept,kept,45,-0.07927864812630916,0.04887709923169721,-0.1281557473580064,-0.09105232866486243,-0.039849875648864566
find,find,43,-0.28977342745906226,0.06635905723778093,-0.3561324846968432,-0.09790581024604517,-0.07305122643859334
did,did,43,-0.33981303019260545,-0.07859381411299458,-0.26121921607961085,-0.09529352917784943,-0.0942830865173826
most,most,43,-0.3126925056939696,0.027541490593140764,-0.3402339962871104,-0.10419566105737829,-0.025710551390553345
two,two,42,-0.17270277657015465,0.28148355026686417,-0.4541863268370188,-0.19880273588473332,-0.18736301597162436
seemed,seemed,41,-0.30045085609735556,-0.10523028472576292,-0.19522057137159265,-0.07160019796248743,0.032021764418605776
another,another,39,-0.10086915258623592,0.15729746591766627,-0.2581666185039022,-0.12070804920073536,-0.09013375044352656
moved,move|moved,39,-0.2564346228413238,0.15424271828748484,-0.4106773411288086,-0.14339696691553971,-0.14294727232910082
score,score|scores,38,0.041231357412839745,0.1928067291216014,-0.15157537170876167,-0.09453254707133193,-0.056013806063649973
try,try|trying,37,-0.23405514912414152,0.13239706031943327,-0.3664522094435748,-0.11648774591072182,-0.10327840172655839
card,card|cards,37,0.014460144343317088,0.18439166920899858,-0.1699315248656815,-0.13586425536759128,-0.06831056076201725
game,game,35,-0.034771847854109715,0.1370301034090082,-0.17180195126311792,-0.10479562135230971,-0.11206610289771202
after,after,35,-0.21114935708138532,0.09513499363833733,-0.30628435071972265,-0.15960831021672,-0.06844366341447547
other,other|others,34,-0.007168957046884833,-0.10496594814106852,0.09779699109418369,0.041159066618772736,0.02836057587782019
stayed,stay|stayed,34,-0.09730024866659394,0.22760086246674083,-0.32490111113333475,-0.10840135655584948,-0.1524921531544523
went,went,34,-0.2010914877111729,0.17346103984652156,-0.37455252755769447,-0.12719173514077242,-0.10538200282763731
going,go|going,33,-0.18844067481544502,0.13606600826168289,-0.32450668307712793,-0.15023663935656553,-0.13639464758182346
who,who,32,-0.314884624513266,0.0554300403707033,-0.3703146648839693,-0.1768519207393231,-0.057411405906444835
different,different,31,-0.3271277513715829,0.03105368194181581,-0.3581814333133987,-0.03196771216415654,-0.009792679259982263
found,found,31,-0.26723566926103337,0.06739077038914433,-0.3346264396501777,-0.11993303735912231,-0.05226778086692514
good,good,31,-0.23555960029679182,0.061510415431678726,-0.2970700157284705,-0.15144836555583055,-0.11760682646610349
didn,didn,30,-0.26098052092936713,0.0388745207259552,-0.29985504165532234,-0.15959708974584685,-0.13537120158263072
started,started,29,-0.2157640093002189,0.16179270353097905,-0.37755671283119796,-0.16559921021523125,-0.13884998172903137
work,work|worked|working,28,-0.26060907430960156,0.049677939351607386,-0.3102870136612089,-0.08570789714846147,-0.08489292180961666
stick,stick,28,0.006880491810494479,0.28176958626644943,-0.27488909445595494,-0.1603902503525161,-0.13053096664808758
round,round|rounds,28,-0.042823982141350435,0.2650737343547479,-0.3078977164960983,-0.06673729549996908,-0.07395693345109824
next,next,27,-0.05461276971611371,0.15167065972868482,-0.20628342944479852,-0.12602556297405937,-0.07851428966514162
giving,giving,27,-0.235406455356257,0.2296942492345213,-0.46510070459077835,-0.1312876046863512,-0.08347431769830294
bad,bad,26,0.1699716277490032,0.19559659074896563,-0.02562496299996242,-0.13402504659277117,-0.15373916686520678
first,first,25,-0.2588225781372883,0.18926292090575375,-0.44808549904304207,-0.16864406367026274,-0.1527744770293258
than,than,25,-0.21063808476644896,-0.004782290077164014,-0.20585579468928494,-0.12816566225318868,-0.06885013201606388
out,out,25,-0.23688592624941152,0.27199224523484944,-0.508878171484261,-0.15451561637878328,-0.08981619961646375
clicked,click|clicked|clicking,25,-0.19485452764755054,0.2927252190302996,-0.4875797466778501,-0.10066917407543516,-0.08746997216249738
choice,choice|choices,24,-0.22420980057126705,0.10695996711370816,-0.3311697676849752,-0.05262607043008227,0.03853436034187403
back,back,24,-0.14385331383121186,0.2949027632366576,-0.43875607706786945,-0.18684099712920332,-0.1824081225247646
see,see,23,-0.2956757743580566,-0.06539558704737376,-0.23028018731068284,-0.0693974148652029,-0.03092700028551207
again,again,23,-0.10705808912903549,0.030767842734756103,-0.13782593186379158,-0.11224683570368056,-0.0327630140668692
them,them,22,-0.2363909118644728,0.1688749042665209,-0.4052658161309937,-0.10396755760999944,-0.06842939554113983
people,people,22,-0.3393210071266929,0.07700465266877354,-0.41632565979546643,-0.0570201380421109,-0.052915815059272044
best,best,21,-0.2908130458907916,0.009472695351379089,-0.30028574124217067,-0.10408866688328314,-0.03890817099064304
much,much,21,-0.2681011451842129,-0.1260699249440834,-0.1420312202401295,-0.08172635841585668,0.034024723246806735
which,which,21,-0.29376585375212483,0.06946663894493883,-0.36323249269706365,-0.038131602339678876,0.08374743020359494
positive,positive,20,0.05864437828758243,0.31728727014991776,-0.25864289186233536,-0.1392097631207558,-0.1025096080105587
any,any,20,-0.25439400573799914,-0.08677353298888557,-0.16762047274911357,-0.09416144026108683,-0.0033780570285846974
use,use|used,20,-0.31975229356956203,0.10568432927244259,-0.4254366228420046,-0.06562452452961179,-0.07053667477824317
twice,twice,19,0.011383961179291536,0.32942337082614553,-0.318039409646854,-0.1804564602353602,-0.10914165169020004
give,give,19,-0.27725413165591273,0.08678726960336292,-0.36404140125927564,-0.13314837280336092,-0.09844290264542499
think,think,19,-0.25760700788925955,0.0024827667736584402,-0.260089774662918,-0.09835860154724879,-0.0677839234684022
chose,chose,18,-0.2714763294747251,0.13268764270135303,-0.40416397217607813,-0.10814827337717893,-0.035003286964480865
choosing,choosing,18,-0.13988590603478643,0.1608659135091383,-0.3007518195439247,-0.06290448088196916,0.05161190494131496
