quantity,value
eligible_content_tokens,241.0
lemma_channels,207.0
evaluation_selected_layer,12.0
evaluation_token_profile_wsr_rho,0.052632797229175965
evaluation_token_profile_wsr_p,0.41599071589713077
final_decision_selected_layer,21.0
final_decision_token_profile_wsr_rho,-0.6746279277116698
final_decision_token_profile_wsr_p,2.3376207245524926e-33
evaluation_bundle_specificity_delta_r,0.11149326069800317
final_decision_bundle_specificity_delta_r,-0.03997554385850133
final_decision_near_maximum_rho_min,-0.7055099276430851
final_decision_near_maximum_rho_max,-0.6578975343781079
final_decision_near_maximum_rho_median,-0.6746279277116698
evaluation_retained_tokens_ever_top100,174.0
evaluation_retained_participant_token_top100_rate,0.1724638423578027
evaluation_filter_sensitivity_rho_min,-0.06948631421072365
evaluation_filter_sensitivity_rho_max,0.3295560368785133
final_decision_retained_tokens_ever_top100,108.0
final_decision_retained_participant_token_top100_rate,0.1104451616208186
final_decision_filter_sensitivity_rho_min,-0.6746279277116698
final_decision_filter_sensitivity_rho_max,-0.614469354034055
