dimension,layer,token_id,token,corpus_count,filter_status,retained,mean_raw_logit,median_raw_logit,maximum_raw_logit,best_corpus_rank,median_corpus_rank,participants_top10,participants_top50,participants_top100
Evaluation,12,139,,35,unreadable,False,2.3588505279040572,4.803600283693591,12.743319176075106,115,458.5,0,0,0
Evaluation,12,473,in,1,frequency_below_5,False,1.7643903234318323,4.060199541818967,10.756939488073668,165,516.5,0,0,0
Evaluation,12,476,a,281,unreadable,False,6.216123995827871,13.052542690853269,21.42201885881213,15,74.5,0,160,290
Evaluation,12,485,s,2,frequency_below_5,False,4.735927722767119,5.892860876405692,11.32044923889533,125,370.0,0,0,0
Evaluation,12,489,th,2,frequency_below_5,False,-7.520459392931412,-4.552351123308038,2.609605034178885,724,1058.0,0,0,0
Evaluation,12,491,nd,3,frequency_below_5,False,-3.6678653038835964,-1.4865822401946218,3.0646266480888915,625,920.0,0,0,0
Evaluation,12,495,de,2,frequency_below_5,False,-5.481534052420745,-2.9473224342304416,4.259711607766693,573,995.0,0,0,0
Evaluation,12,496,i,44,unreadable,False,3.516698856691045,6.186440369585591,12.696436412058896,90,385.5,0,0,1
Evaluation,12,503,p,1,frequency_below_5,False,2.3385783619240534,4.644528095384599,11.923403246030311,190,478.0,0,0,0
Evaluation,12,509,ed,5,retained,True,2.9526068980141127,5.732540655441731,11.296668283637041,79,414.0,0,0,1
Evaluation,12,511,to,1,frequency_below_5,False,-0.9293143482280019,1.4569879734230184,8.121185840617871,277,708.5,0,0,0
Evaluation,12,524,ve,6,retained,True,0.32960622992816463,0.5869271415737127,5.107108270100077,250,691.5,0,0,0
Evaluation,12,529,ll,2,frequency_below_5,False,0.6404566851386149,0.7734914516684075,5.522785591462609,192,734.5,0,0,0
Evaluation,12,533,l,1,frequency_below_5,False,-0.6110554837020048,0.6772118032382904,9.283083214461094,332,745.0,0,0,0
Evaluation,12,556,na,1,frequency_below_5,False,-5.588960809089366,-2.359554913485539,4.355687595691401,615,970.5,0,0,0
Evaluation,12,573,the,511,non_content,False,7.022293378798006,11.150293605117934,22.285651482516815,15,132.5,0,53,182
Evaluation,12,574,ing,2,frequency_below_5,False,6.140499452259974,8.313301028038818,13.324869757567107,57,258.0,0,0,15
Evaluation,12,575,in,109,non_content,False,17.835973469566866,21.48140448744279,27.45981502740281,1,3.0,377,403,406
Evaluation,12,576,of,74,non_content,False,16.931172276094795,18.662526727872724,26.298612278687997,1,9.0,281,420,466
Evaluation,12,577,to,385,non_content,False,17.53054665102791,20.844574729438072,28.345084808489755,1,3.0,363,397,404
Evaluation,12,578,and,140,non_content,False,8.502394602270202,16.17376153036759,25.851753925155833,2,27.5,87,307,343
Evaluation,12,579,ent,1,frequency_below_5,False,-2.112747016298157,0.3315322658906324,5.65867167121391,471,803.0,0,0,0
Evaluation,12,586,A,6,unreadable,False,1.115961192525715,3.414181293231279,9.715363476190282,156,547.0,0,0,0
Evaluation,12,590,I,530,unreadable,False,9.153897188301098,13.12760677587303,23.7259566122045,2,76.0,13,165,288
Evaluation,12,591,(,12,unreadable,False,1.8423646178973048,8.187308892029165,15.186473203643436,52,269.0,0,0,13
Evaluation,12,598,ver,1,frequency_below_5,False,-0.5955085083789345,-0.4613302326469365,5.718289733539992,263,796.0,0,0,0
Evaluation,12,603,is,6,non_content,False,9.610638632926578,12.530598255876,21.660666776383795,9,85.0,2,96,301
Evaluation,12,604,for,58,non_content,False,16.26057503606779,18.934650990182718,26.34397651031363,1,8.0,325,401,405
Evaluation,12,607,ate,1,frequency_below_5,False,-4.031102355596375,-0.16750505638322621,5.421917393182465,508,833.0,0,0,0
Evaluation,12,611,on,84,non_content,False,14.387946296548368,18.788036214633514,25.675910593745066,2,8.0,276,378,390
Evaluation,12,614,be,21,non_content,False,7.9846481603802335,10.176163348802438,16.66734476738518,28,156.0,0,2,73
Evaluation,12,617,ts,1,frequency_below_5,False,-1.0599382083022044,1.4714055174104361,7.167288711321295,392,716.0,0,0,0
Evaluation,12,619,ue,1,frequency_below_5,False,-11.926444433031904,-9.302858371662534,-3.5204402232821317,1050,1127.5,0,0,0
Evaluation,12,626,ay,1,frequency_below_5,False,-5.078385335760285,-3.052116156608193,2.494826448157177,615,990.0,0,0,0
Evaluation,12,648,if,3,frequency_below_5,False,-3.2448257332782573,-0.9384867157101275,6.439147524255183,377,878.0,0,0,0
Evaluation,12,651,The,3,frequency_below_5,False,8.427469529434244,8.413795485719003,16.418872459766725,13,199.0,0,30,84
Evaluation,12,656,pro,1,frequency_below_5,False,3.169628560288385,4.0933778997164145,9.403069826594528,130,469.0,0,0,0
Evaluation,12,664,"""",11,unreadable,False,-1.0221589502076482,3.886474749674004,12.363133956729754,175,532.0,0,0,0
Evaluation,12,665,it,138,non_content,False,8.57230215186725,13.460554940652331,21.70575135242772,5,60.0,9,209,312
