layer,n_tokens,ev_wsr_rho,ev_wsr_p,fd_wsr_rho,fd_wsr_p,ev_fd_rho,ev_fd_p,ev_encoding_maximum,fd_encoding_maximum,near_ev_maximum,near_fd_maximum
0,241,-0.6174273858921163,1.0178745991763914e-26,-0.6099782243407291,5.944163280114391e-26,0.4144173725180893,2.029368286837478e-11,False,False,False,False
1,241,-0.33812969376907515,7.397912824535967e-08,-0.5900012002331882,5.403016093952922e-24,0.14150063440897093,0.028068876598364847,False,False,False,False
2,241,-0.28570779465724777,6.587198911721617e-06,-0.5760724940845651,1.0470179534230411e-22,0.03497479510304859,0.5889920408142317,False,False,False,False
3,241,-0.04557456877336169,0.48131125757747684,-0.5690219814135318,4.451716521602496e-22,-0.04536195603717294,0.4833613301181797,False,False,False,False
4,241,-0.08761788004526594,0.17518441248249692,-0.6364219334042044,9.074924873113844e-29,-0.015512156647577246,0.810659109697285,False,False,False,False
5,241,-0.05668358423922363,0.38097815910326605,-0.6692680292171052,1.1317812300112272e-32,0.12615908233599674,0.0504468045495077,False,False,False,False
6,241,-0.012304962106923632,0.8492790295323359,-0.6318601899797676,2.904924710768522e-28,0.09681166626658894,0.13396973374242713,False,False,False,False
7,241,-0.05747402352457049,0.37436193745209567,-0.6526430849422173,1.231232353587007e-30,0.17264668564178184,0.007221245611551327,False,False,False,False
8,241,-0.03323017043311272,0.607720022218702,-0.6292051027056687,5.667260732107154e-28,0.1471160111107301,0.022346603366491514,False,False,False,False
9,241,0.004684338671513323,0.9423291011606265,-0.6328855320462262,2.240243943896245e-28,0.1960323720037036,0.002234632645471338,False,False,False,False
10,241,0.08717122183738556,0.17740302073555633,-0.624711086725421,1.7309737495873476e-27,0.11849130688248004,0.06629989528650508,False,False,True,False
11,241,0.07694866431192347,0.23399956122732288,-0.6719479784643875,5.164918714736347e-33,0.10014317067315937,0.12103179166243015,False,False,True,False
12,241,0.052632797229175965,0.41599071589713077,-0.6872526662322966,4.975554775825546e-35,0.1009747608106718,0.11795894549358735,True,False,True,False
13,241,-0.13136466513494052,0.04159361820043598,-0.6914063303727582,1.3427208813902529e-35,0.22972720414251918,0.0003231525460523671,False,False,True,False
14,241,-0.22213315729913244,0.0005127449814769273,-0.7325151743767362,8.513005623287793e-42,0.2891387469565516,5.039318109186239e-06,False,False,True,False
15,241,-0.23926648606014886,0.0001770371255586148,-0.7681329515448717,3.5457191787980734e-48,0.289844312609307,4.767161615239275e-06,False,False,False,False
16,241,-0.22408610815815647,0.0004560104059264328,-0.7792411097013134,2.0928651999183382e-50,0.26264960049381025,3.644374446802348e-05,False,False,False,False
17,241,-0.0632188539487672,0.3284226658543349,-0.728305785123967,4.136742823436105e-41,0.23198535715510446,0.000280868205416746,False,False,False,False
18,241,-0.01813723809197216,0.7793817598082677,-0.7111218751071637,1.9546672937242303e-38,0.16577535063955284,0.009937182862058757,False,False,False,False
19,241,-0.07235177120126196,0.2632131819236362,-0.6967688007955832,2.3944007462519145e-36,0.18881468399574777,0.003256104291250068,False,False,False,True
20,241,-0.03585696649634787,0.5796240931404777,-0.7055099276430851,1.3258994546532697e-37,0.18760587771338433,0.003463599488427363,False,False,False,True
21,241,-0.025054010493467307,0.6987699607002837,-0.6746279277116698,2.3376207245524926e-33,0.19212132642913482,0.0027447340083135477,False,True,False,True
22,241,-0.06377267583416207,0.32419454131162706,-0.6578975343781079,2.8880720218677415e-31,0.21695157916395189,0.0006964799287518457,False,False,False,True
23,241,-0.0556419532937828,0.38980510608540475,-0.6587462707040227,2.27878785144797e-31,0.19366019683824287,0.0025325895169618154,False,False,False,True
24,241,0.02064829738349165,0.7497908114176766,-0.6714670278797024,5.949342074013672e-33,0.037738760673502285,0.5598765581873419,False,False,False,False
25,241,0.04788501766057406,0.45933940271140994,-0.5453808168444155,4.467663259558651e-20,0.1396248413977573,0.030241228221040053,False,False,False,False
