contrast_id,col_a,col_b,n_pairs,mean_delta,ci95_low,ci95_high,ci_excludes_zero
comprehension_continuous__minus__confidence_continuous,comprehension_continuous,confidence_continuous,15,0.012456045939748172,-0.067684659427286,0.09012165696060612,False
comprehension_continuous__minus__evaluation_continuous,comprehension_continuous,evaluation_continuous,15,-0.009401424925338187,-0.0572507246181495,0.037308344463531685,False
comprehension_continuous__minus__final_decision_continuous,comprehension_continuous,final_decision_continuous,15,0.12041112311642152,0.02162389876101236,0.2370419194599889,True
comprehension_continuous__minus__judgment_continuous,comprehension_continuous,judgment_continuous,15,-0.03545176884839461,-0.12894825857844464,0.07156263897921343,False
evaluation_continuous__minus__confidence_continuous,evaluation_continuous,confidence_continuous,15,-0.028207151645935315,-0.09162631467138285,0.02389876647036721,False
final_decision_continuous__minus__confidence_continuous,final_decision_continuous,confidence_continuous,15,0.039997417019181206,-0.008692728600270296,0.0931960337387068,False
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,15,-0.11679948602974331,-0.1990511537131985,-0.04265175519241146,True
judgment_continuous__minus__confidence_continuous,judgment_continuous,confidence_continuous,15,0.028396231801915788,-0.030964388222504895,0.09410479050325056,False
judgment_continuous__minus__evaluation_continuous,judgment_continuous,evaluation_continuous,15,0.017205851195632053,-0.054874801476497176,0.07668053755095347,False
judgment_continuous__minus__final_decision_continuous,judgment_continuous,final_decision_continuous,15,0.11270131508160279,0.04910587007405678,0.1897609274937642,True
