patch_layer,mean_delta,se,t_stat,p_signflip_exact,p_maxstat_fwer_exact,n_sign_patterns,ci95_low,ci95_high
0,-0.017425094038605846,0.00949057356671853,-1.836042249302195,0.08612060546875,0.39459228515625,32768,-0.0353145161291996,0.00047151610725375915
1,-0.017191133195044953,0.010769124381364148,-1.5963352809624913,0.13238525390625,0.52789306640625,32768,-0.037666154375298126,0.002830397760047521
2,-0.023124085806627427,0.014625830783084718,-1.5810442599521415,0.139892578125,0.53729248046875,32768,-0.050844462415666855,0.003899460294191621
3,-0.018328292154520528,0.016318236871339493,-1.1231784597214294,0.2962646484375,0.82806396484375,32768,-0.05078481905119844,0.01040308889178558
4,-0.01813401725376881,0.018648687480646214,-0.9724017989249091,0.39117431640625,0.90447998046875,32768,-0.05564329397540412,0.014304468766279764
5,-0.019491711916031006,0.017451698976400812,-1.1168948044765623,0.28826904296875,0.831298828125,32768,-0.05278492491959567,0.011862832211974022
6,-0.009104554193738965,0.01938905533754192,-0.46957182984105145,0.655517578125,0.9993896484375,32768,-0.049157680508749135,0.024290681258347203
7,-0.012348687350943159,0.01927975092128365,-0.6405003571550799,0.54229736328125,0.99169921875,32768,-0.051605950613525395,0.02084233643587449
8,-0.018317066995978716,0.020451155664182145,-0.8956494829316154,0.39630126953125,0.93603515625,32768,-0.057439528175151855,0.017443322559643593
9,-0.021066483134340445,0.022162843109016922,-0.9505316186518316,0.3609619140625,0.914306640625,32768,-0.06506360089348547,0.017746729493582632
10,-0.02681642431087462,0.021772137056608434,-1.2316854446190024,0.246337890625,0.76373291015625,32768,-0.0711486994395652,0.011893051161812381
11,-0.03792400621452487,0.025651910491473025,-1.4784086443437119,0.164794921875,0.60406494140625,32768,-0.0885628942569355,0.008634244332318021
12,-0.050687959392307615,0.02773270964269673,-1.8277319470532167,0.0845947265625,0.399169921875,32768,-0.10660520687432477,-0.0012702137455722308
13,-0.06398828161820146,0.030309212872869383,-2.1111825597912226,0.0380859375,0.27056884765625,32768,-0.12580397024872542,-0.011353307756957351
14,-0.07160622225554979,0.032537043612121674,-2.200759943318049,0.034912109375,0.23492431640625,32768,-0.13784632983809683,-0.0118916083226303
15,-0.0759168852907282,0.03271967489267412,-2.3202212595249794,0.022216796875,0.19512939453125,32768,-0.14347766483109445,-0.019783908039976757
16,-0.0941424234971829,0.03760710288938095,-2.5033149661673546,0.01055908203125,0.1446533203125,32768,-0.17176586732575683,-0.027915155697261832
17,-0.10129189444214698,0.03571002625032544,-2.8365113408793383,0.00653076171875,0.0794677734375,32768,-0.1689241877949661,-0.038424183602735223
18,-0.10780604829280743,0.039977132564799185,-2.696692868555891,0.0137939453125,0.10394287109375,32768,-0.18639013873889904,-0.03286210112914491
19,-0.11679948602974331,0.0404354733825319,-2.8885400926257145,0.00811767578125,0.071533203125,32768,-0.19514324276608103,-0.04257357680957403
20,-0.11947400133976543,0.048606516966158274,-2.4579831840851263,0.02294921875,0.156005859375,32768,-0.21762675428789732,-0.03067658527074943
21,-0.11756166632573559,0.05467531160580392,-2.1501782591259366,0.0484619140625,0.25433349609375,32768,-0.22586129429867555,-0.014320837312157421
22,-0.11246499572382909,0.05766944108964498,-1.9501662162635924,0.07220458984375,0.33990478515625,32768,-0.21853530873511448,-0.0021847318777176296
23,-0.09965594992169419,0.05896058943618142,-1.6902129180638734,0.1143798828125,0.47064208984375,32768,-0.21052213979840664,0.010035606153723745
24,-0.11432887195447408,0.06323525227465496,-1.8079926598205054,0.09381103515625,0.40899658203125,32768,-0.2376781461278314,0.004548824571154706
25,-0.03354357131865381,0.016809570435197926,-1.9955043734143376,0.065185546875,0.3203125,32768,-0.06508440512978624,-0.0021199709943068934
