contrast_id,col_a,col_b,condition,pair_id,source_idx,target_idx,patch_layer,base_prediction,patched_prediction,delta_wsr_predicted,delta_activation_norm,base_source,elapsed_seconds
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,1,368,13,19,0.3222584150282147,0.15795507140076107,-0.1643033436274536,100.27535664750594,live_unpatched_same_model,1.2465062999981456
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,2,340,186,19,0.5517011289529234,0.23742526101580444,-0.31427586793711904,124.14250147738309,live_unpatched_same_model,1.2338655999628827
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,3,135,70,19,-0.0451771379115059,0.047899639786488944,0.09307677769799484,133.86533456399275,live_unpatched_same_model,1.2349955000099726
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,4,441,256,19,-0.0309425523201656,-0.10447450128977745,-0.07353194896961185,103.68385624866029,live_unpatched_same_model,1.250684300030116
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,5,84,407,19,0.0701096946469617,-0.010806258297546204,-0.08091595294450792,103.17152579354456,live_unpatched_same_model,1.2427482000202872
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,6,180,181,19,-0.0706881178551478,-0.2524711658068225,-0.18178304795167471,110.38806055107938,live_unpatched_same_model,1.2344765000161715
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,7,442,166,19,-0.0374219266130395,-0.00444800424930094,0.03297392236373856,108.47418947067077,live_unpatched_same_model,1.248807800002396
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,8,353,336,19,0.2334113362848168,0.07125225939581109,-0.16215907688900572,109.08276948497313,live_unpatched_same_model,1.2492115999921225
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,9,121,471,19,0.1553593319424777,0.000663004617526031,-0.15469632732495167,136.23808812678564,live_unpatched_same_model,1.2343767000129446
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,10,145,125,19,-0.0414361952716543,-0.1348559819225864,-0.09341978665093212,85.2051251574838,live_unpatched_same_model,1.2573458999977447
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,11,222,268,19,-0.0744144220976672,-0.21876089464649684,-0.14434647254882965,112.73324134162299,live_unpatched_same_model,1.2412052000290714
final_decision_continuous__minus__evaluation_continuous,final_decision_continuous,evaluation_continuous,main,12,217,403,19,0.356841227425656,-0.14634910374693855,-0.5031903311725945,117.51799281220073,live_unpatched_same_model,1.2407762999646366
